name,rating,genre,year,score,votes,director,writer,star,country,budget,gross,company,month,revenue
The Shining,R,Drama,1980,8.4,927000,Stanley Kubrick,Stephen King,Jack Nicholson,United Kingdom,19000000,46998772,Warner Bros.,June,27998772
The Blue Lagoon,R,Adventure,1980,5.8,65000,Randal Kleiser,Henry De Vere Stacpoole,Brooke Shields,United States,4500000,58853106,Columbia Pictures,July,54353106
Star Wars: Episode V - The Empire Strikes Back,PG,Action,1980,8.7,1200000,Irvin Kershner,Leigh Brackett,Mark Hamill,United States,18000000,538375067,Lucasfilm,June,520375067
Airplane!,PG,Comedy,1980,7.7,221000,Jim Abrahams,Jim Abrahams,Robert Hays,United States,3500000,83453539,Paramount Pictures,July,79953539
Caddyshack,R,Comedy,1980,7.3,108000,Harold Ramis,Brian Doyle-Murray,Chevy Chase,United States,6000000,39846344,Orion Pictures,July,33846344
Friday the 13th,R,Horror,1980,6.4,123000,Sean S. Cunningham,Victor Miller,Betsy Palmer,United States,550000,39754601,Paramount Pictures,May,39204601
The Blues Brothers,R,Action,1980,7.9,188000,John Landis,Dan Aykroyd,John Belushi,United States,27000000,115229890,Universal Pictures,June,88229890
Raging Bull,R,Biography,1980,8.2,330000,Martin Scorsese,Jake LaMotta,Robert De Niro,United States,18000000,23402427,Chartoff-Winkler Productions,December,5402427
Superman II,PG,Action,1980,6.8,101000,Richard Lester,Jerry Siegel,Gene Hackman,United States,54000000,108185706,Dovemead Films,June,54185706
The Long Riders,R,Biography,1980,7,10000,Walter Hill,Bill Bryden,David Carradine,United States,10000000,15795189,United Artists,May,5795189
Any Which Way You Can,PG,Action,1980,6.1,18000,Buddy Van Horn,Stanford Sherman,Clint Eastwood,United States,15000000,70687344,The Malpaso Company,December,55687344
The Gods Must Be Crazy,PG,Adventure,1980,7.3,54000,Jamie Uys,Jamie Uys,N!xau,South Africa,5000000,30031783,C.A.T. Films,October,25031783
Popeye,PG,Adventure,1980,5.3,30000,Robert Altman,Jules Feiffer,Robin Williams,United States,20000000,49823037,Paramount Pictures,December,29823037
Ordinary People,R,Drama,1980,7.7,49000,Robert Redford,Judith Guest,Donald Sutherland,United States,6000000,54766923,Paramount Pictures,September,48766923
Dressed to Kill,R,Crime,1980,7.1,37000,Brian De Palma,Brian De Palma,Michael Caine,United States,6500000,31899000,Filmways Pictures,July,25399000
Somewhere in Time,PG,Drama,1980,7.2,27000,Jeannot Szwarc,Richard Matheson,Christopher Reeve,United States,5100000,9709597,Rastar Pictures,October,4609597
Fame,R,Drama,1980,6.6,21000,Alan Parker,Christopher Gore,Eddie Barth,United States,NA,21202829,Metro-Goldwyn-Mayer (MGM),May,NA
9 to 5,PG,Comedy,1980,6.9,29000,Colin Higgins,Patricia Resnick,Jane Fonda,United States,10000000,103300686,IPC Films,December,93300686
The Fog,R,Horror,1980,6.8,66000,John Carpenter,John Carpenter,Adrienne Barbeau,United States,1000000,21448782,AVCO Embassy Pictures,February,20448782
Stir Crazy,R,Comedy,1980,6.8,26000,Sidney Poitier,Bruce Jay Friedman,Gene Wilder,United States,NA,101300000,Columbia Pictures,December,NA
Cruising,R,Crime,1980,6.5,20000,William Friedkin,William Friedkin,Al Pacino,West Germany,11000000,19814523,Lorimar Film Entertainment,February,8814523
Heaven's Gate,R,Adventure,1980,6.8,14000,Michael Cimino,Michael Cimino,Kris Kristofferson,United States,44000000,3484523,Partisan Productions,April,-40515477
The Final Countdown,PG,Action,1980,6.7,22000,Don Taylor,Thomas Hunter,Kirk Douglas,United States,12000000,16647800,Bryna Productions,August,4647800
Xanadu,PG,Fantasy,1980,5.3,12000,Robert Greenwald,Richard Christian Danus,Olivia Newton-John,United States,20000000,22762571,Universal Pictures,August,2762571
Urban Cowboy,PG,Drama,1980,6.4,14000,James Bridges,Aaron Latham,John Travolta,United States,NA,46918287,Paramount Pictures,June,NA
Altered States,R,Horror,1980,6.9,33000,Ken Russell,Paddy Chayefsky,William Hurt,United States,NA,19853892,Warner Bros.,December,NA
Little Darlings,R,Comedy,1980,6.5,5100,Ron Maxwell,Kimi Peck,Tatum O'Neal,United States,NA,34326249,Stephen Friedman/Kings Road Productions,March,NA
Raise the Titanic,PG,Action,1980,5,4100,Jerry Jameson,Adam Kennedy,Jason Robards,United Kingdom,36000000,NA,ITC Films,August,NA
Brubaker,R,Crime,1980,7.2,17000,Stuart Rosenberg,W.D. Richter,Robert Redford,United States,9000000,37121708,Twentieth Century Fox,June,28121708
American Gigolo,R,Crime,1980,6.2,22000,Paul Schrader,Paul Schrader,Richard Gere,United States,4800000,22743674,Paramount Pictures,February,17943674
My Bodyguard,PG,Comedy,1980,7.1,8900,Tony Bill,Alan Ormsby,Chris Makepeace,United States,NA,22482952,Twentieth Century Fox,September,NA
Prom Night,R,Horror,1980,5.4,16000,Paul Lynch,William Gray,Leslie Nielsen,Canada,NA,14796236,Guardian Trust Company,July,NA
Smokey and the Bandit II,PG,Action,1980,5.3,15000,Hal Needham,Hal Needham,Burt Reynolds,United States,NA,66132626,Universal Pictures,August,NA
Cattle Annie and Little Britches,PG,Drama,1980,6.1,604,Lamont Johnson,David Eyre,Scott Glenn,United States,5100000,534816,Cattle Annie Productions,April,-4565184
Seems Like Old Times,PG,Comedy,1980,6.7,9100,Jay Sandrich,Neil Simon,Goldie Hawn,United States,NA,43995918,Rastar Films,December,NA
Private Benjamin,R,Comedy,1980,6.2,24000,Howard Zieff,Nancy Meyers,Goldie Hawn,United States,10000000,69847348,Warner Bros.,October,59847348
The Hollywood Knights,R,Comedy,1980,6.3,4300,Floyd Mutrux,Floyd Mutrux,Tony Danza,United States,4000000,10000000,PolyGram Filmed Entertainment,May,6000000
Motel Hell,R,Comedy,1980,6,11000,Kevin Connor,Robert Jaffe,Rory Calhoun,United States,3000000,6342668,Camp Hill,October,3342668
The Jazz Singer,PG,Drama,1980,5.9,4000,Richard Fleischer,Samson Raphaelson,Laurence Olivier,United States,NA,27118000,EMI Films,December,NA
Coal Miner's Daughter,PG,Biography,1980,7.5,17000,Michael Apted,Thomas Rickman,Sissy Spacek,United States,NA,67182787,Universal Pictures,March,NA
The Watcher in the Woods,PG,Family,1980,6.3,5700,John Hough,Brian Clemens,Bette Davis,United States,NA,5000000,Walt Disney Productions,October,NA
Breaker Morant,PG,Drama,1980,7.9,13000,Bruce Beresford,Jonathan Hardy,Edward Woodward,Australia,NA,NA,The South Australian Film Corporation,July,NA
The Stunt Man,R,Action,1980,7.1,9000,Richard Rush,Lawrence B. Marcus,Peter O'Toole,United States,3500000,7063886,Melvin Simon Productions,June,3563886
Where the Buffalo Roam,R,Biography,1980,6.6,11000,Art Linson,Hunter S. Thompson,Peter Boyle,United States,NA,6659377,Universal Pictures,April,NA
The Awakening,R,Horror,1980,4.8,2000,Mike Newell,Allan Scott,Charlton Heston,United Kingdom,NA,8415112,EMI Films,October,NA
Cheech and Chong's Next Movie,R,Comedy,1980,6.1,12000,Tommy Chong,Tommy Chong,Cheech Marin,United States,NA,41675194,Universal Pictures,July,NA
The Island,R,Action,1980,5.3,3900,Michael Ritchie,Peter Benchley,Michael Caine,United States,22000000,15716828,Universal Pictures,June,-6283172
The Boogey Man,R,Horror,1980,4.6,3900,Ulli Lommel,Ulli Lommel,Suzanna Love,United States,300000,NA,The Jerry Gross Organization,November,NA
The Nude Bomb,PG,Action,1980,5.1,3100,Clive Donner,Mel Brooks,Don Adams,United States,15000000,14662035,Universal Pictures,May,-337965
Lion of the Desert,PG,Biography,1980,8.3,15000,Moustapha Akkad,David Butler,Anthony Quinn,Libya,35000000,NA,Falcon International Productions,May,NA
Stardust Memories,PG,Comedy,1980,7.3,22000,Woody Allen,Woody Allen,Woody Allen,United States,10000000,10389003,Jack Rollins & Charles H. Joffe Productions,September,389003
Melvin and Howard,R,Comedy,1980,6.8,4500,Jonathan Demme,Bo Goldman,Paul Le Mat,United States,7000000,4309490,Universal Pictures,September,-2690510
Can't Stop the Music,PG,Biography,1980,4.2,3700,Nancy Walker,Bronte Woodard,Ray Simpson,United States,20000000,NA,EMI Films,June,NA
Bronco Billy,PG,Action,1980,6.1,11000,Clint Eastwood,Dennis Hackin,Clint Eastwood,United States,6500000,24265659,Warner Bros.,June,17765659
City of Women,R,Comedy,1980,7,6700,Federico Fellini,Federico Fellini,Marcello Mastroianni,Italy,NA,12516,Opera Film Produzione,April,NA
The Private Eyes,PG,Comedy,1980,6.7,2900,Lang Elliott,Tim Conway,Tim Conway,United States,NA,NA,Tri Star Productions,November,NA
When Time Ran Out...,PG,Action,1980,4.6,2600,James Goldstone,Gordon Thomas,Paul Newman,United States,20000000,3763988,International Cinema,March,-16236012
Oh Heavenly Dog,PG,Comedy,1980,5.4,2400,Joe Camp,Rod Browning,Chevy Chase,United States,6000000,6216067,Mulberry Square Productions,July,216067
